path,gw,apn,pool_name,vpn_instance,section,start_ip,end_ip
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,1,10.125.128.0,10.125.255.255
Ramsis,NSVUPF36,etisalat,etisalat_02,Gi_MI_IPv4,1,10.63.1.0,10.63.1.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,1,2C0F:FC89:3E:8000::,2C0F:FC89:3E:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,2,10.126.0.0,10.126.127.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,2,2C0F:FC89:3F::,2C0F:FC89:3F:7FFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,3,10.126.128.0,10.126.255.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,3,2C0F:FC89:3F:8000::,2C0F:FC89:3F:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,4,2C0F:FC89:4DC::,2C0F:FC89:4DC:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,5,10.130.128.0,10.130.255.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,5,2C0F:FC89:4DD::,2C0F:FC89:4DD:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,6,10.132.0.0,10.132.127.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,6,2C0F:FC89:4DE::,2C0F:FC89:4DE:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,7,2C0F:FC89:4DF::,2C0F:FC89:4DF:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,8,10.133.0.0,10.133.127.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,8,2C0F:FC89:4E0::,2C0F:FC89:4E0:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,9,10.133.128.0,10.133.255.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,9,2C0F:FC89:4E1::,2C0F:FC89:4E1:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat_02,Gi_MI_IPv4,10,172.21.0.0,172.21.127.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,10,2C0F:FC89:4E2::,2C0F:FC89:4E2:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,11,100.100.1.0,100.100.1.255
Ramsis,NSVUPF36,etisalat,etisalat_02,Gi_MI_IPv4,11,172.21.128.0,172.21.255.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,11,2C0F:FC89:4E3::,2C0F:FC89:4E3:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,12,10.137.0.0,10.137.127.255
Ramsis,NSVUPF36,etisalat,etisalat_02,Gi_MI_IPv4,12,172.22.0.0,172.22.127.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,12,2C0F:FC89:4E4::,2C0F:FC89:4E4:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,13,10.137.128.0,10.137.255.255
Ramsis,NSVUPF36,etisalat,etisalat_02,Gi_MI_IPv4,13,172.22.128.0,172.22.255.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,13,2C0F:FC89:4E5::,2C0F:FC89:4E5:FFFF:FFFF:FFFF:FFFF:FFFF
Ramsis,NSVUPF36,etisalat,etisalat,Gi_MI_IPv4,14,10.138.0.0,10.138.127.255
Ramsis,NSVUPF36,etisalat,etisalat_02,Gi_MI_IPv4,14,172.23.0.0,172.23.127.255
